!version: $Revision: 1.48 $
!date: $Date: 2006/07/27 13:53:31 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!original mapping by Michael Ashburner, Cambridge.
!This version parsed from function.ontology on 2006/07/14 16:07:33
!by Daniel Barrell, EBI, Hinxton
!
EC:1 > GO:oxidoreductase activity ; GO:0016491
EC:2.5.1.34 > GO:tryptophan dimethylallyltransferase activity ; GO:0050364
EC:2.5.1.35 > GO:aspulvinone dimethylallyltransferase activity ; GO:0047691
EC:2.5.1.36 > GO:trihydroxypterocarpan dimethylallyltransferase activity ; GO:0047292
EC:2.5.1.38 > GO:isonocardicin synthase activity ; GO:0050007
EC:2.5.1.39 > GO:4-hydroxybenzoate nonaprenyltransferase activity ; GO:0047293
EC:2.5.1.4 > GO:adenosylmethionine cyclotransferase activity ; GO:0047625
EC:2.5.1.41 > GO:phosphoglycerol geranylgeranyltransferase activity ; GO:0047294
EC:2.5.1.42 > GO:geranylgeranylglycerol-phosphate geranylgeranyltransferase activity ; GO:0047295
EC:2.5.1.43 > GO:nicotianamine synthase activity ; GO:0030410
EC:2.5.1.44 > GO:homospermidine synthase activity ; GO:0047296
EC:2.5.1.45 > GO:homospermidine synthase (spermidine-specific) activity ; GO:0050514
EC:2.5.1.46 > GO:spermidine catabolism to deoxyhypusine, using deoxyhypusine synthase ; GO:0050983
EC:2.5.1.47 > GO:cysteine synthase activity ; GO:0004124
EC:2.5.1.48 > GO:cystathionine gamma-synthase activity ; GO:0003962
EC:2.5.1.49 > GO:O-acetylhomoserine aminocarboxypropyltransferase activity ; GO:0003961
EC:2.5.1.50 > GO:zeatin 9-aminocarboxyethyltransferase activity ; GO:0050447
EC:2.5.1.51 > GO:beta-pyrazolylalanine synthase activity ; GO:0047458
EC:2.5.1.52 > GO:L-mimosine synthase activity ; GO:0050461
EC:2.5.1.53 > GO:uracilylalanine synthase activity ; GO:0050471
EC:2.5.1.54 > GO:3-deoxy-7-phosphoheptulonate synthase activity ; GO:0003849
EC:2.5.1.55 > GO:3-deoxy-8-phosphooctulonate synthase activity ; GO:0008676
EC:2.5.1.56 > GO:N-acetylneuraminate synthase activity ; GO:0050462
EC:2.5.1.57 > GO:N-acylneuraminate-9-phosphate synthase activity ; GO:0047444
EC:2.5.1.58 > GO:protein farnesyltransferase activity ; GO:0004660
EC:2.5.1.59 > GO:CAAX-protein geranylgeranyltransferase activity ; GO:0004662
EC:2.5.1.6 > GO:methionine adenosyltransferase activity ; GO:0004478
EC:2.5.1.60 > GO:Rab-protein geranylgeranyltransferase activity ; GO:0004663
EC:2.5.1.61 > GO:hydroxymethylbilane synthase activity ; GO:0004418
EC:2.5.1.64 > GO:2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity ; GO:0046410
EC:2.5.1.7 > GO:UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity ; GO:0008760
EC:2.5.1.8 > GO:tRNA isopentenyltransferase activity ; GO:0004811
EC:2.5.1.9 > GO:riboflavin synthase activity ; GO:0004746
EC:2.6 > GO:transferase activity, transferring nitrogenous groups ; GO:0016769
EC:2.6.1 > GO:transaminase activity ; GO:0008483
EC:2.6.1.1 > GO:aspartate transaminase activity ; GO:0004069
EC:2.6.1.11 > GO:acetylornithine transaminase activity ; GO:0003992
EC:2.6.1.12 > GO:alanine-oxo-acid transaminase activity ; GO:0047635
EC:2.6.1.13 > GO:ornithine-oxo-acid transaminase activity ; GO:0004587
EC:2.6.1.14 > GO:asparagine-oxo-acid transaminase activity ; GO:0047297
EC:2.6.1.15 > GO:glutamine-pyruvate transaminase activity ; GO:0047945
EC:2.6.1.16 > GO:glutamine-fructose-6-phosphate transaminase (isomerizing) activity ; GO:0004360
EC:2.6.1.17 > GO:succinyldiaminopimelate transaminase activity ; GO:0009016
EC:2.6.1.18 > GO:beta-alanine-pyruvate transaminase activity ; GO:0016223
EC:2.6.1.19 > GO:4-aminobutyrate transaminase activity ; GO:0003867
EC:2.6.1.2 > GO:alanine transaminase activity ; GO:0004021
EC:2.6.1.21 > GO:D-alanine transaminase activity ; GO:0047810
EC:2.6.1.22 > GO:(S)-3-amino-2-methylpropionate transaminase activity ; GO:0047298
EC:2.6.1.23 > GO:4-hydroxyglutamate transaminase activity ; GO:0047578
EC:2.6.1.24 > GO:diiodotyrosine transaminase activity ; GO:0047861
EC:2.6.1.27 > GO:tryptophan transaminase activity ; GO:0050362
EC:2.6.1.28 > GO:tryptophan-phenylpyruvate transaminase activity ; GO:0047299
EC:2.6.1.29 > GO:diamine transaminase activity ; GO:0019161
EC:2.6.1.3 > GO:cysteine transaminase activity ; GO:0047801
EC:2.6.1.30 > GO:pyridoxamine-pyruvate transaminase activity ; GO:0047300
EC:2.6.1.31 > GO:pyridoxamine-oxaloacetate transaminase activity ; GO:0019162
EC:2.6.1.32 > GO:valine-3-methyl-2-oxovalerate transaminase activity ; GO:0047301
EC:2.6.1.33 > GO:dTDP-4-amino-4,6-dideoxy-D-glucose transaminase activity ; GO:0019179
EC:2.6.1.34 > GO:UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose transaminase activity ; GO:0047302
EC:2.6.1.35 > GO:glycine-oxaloacetate transaminase activity ; GO:0047303
EC:2.6.1.36 > GO:L-lysine 6-transaminase activity ; GO:0045484
EC:2.6.1.37 > GO:2-aminoethylphosphonate-pyruvate transaminase activity ; GO:0047304
EC:2.6.1.38 > GO:histidine transaminase activity ; GO:0008110
EC:2.6.1.39 > GO:2-aminoadipate transaminase activity ; GO:0047536
EC:2.6.1.4 > GO:glycine transaminase activity ; GO:0047958
EC:2.6.1.40 > GO:(R)-3-amino-2-methylpropionate-pyruvate transaminase activity ; GO:0047305
EC:2.6.1.41 > GO:D-methionine-pyruvate transaminase activity ; GO:0047306
EC:2.6.1.42 > GO:branched-chain-amino-acid transaminase activity ; GO:0004084
EC:2.6.1.43 > GO:aminolevulinate transaminase activity ; GO:0047665
EC:2.6.1.44 > GO:alanine-glyoxylate transaminase activity ; GO:0008453
EC:2.6.1.45 > GO:serine-glyoxylate transaminase activity ; GO:0050281
EC:2.6.1.46 > GO:diaminobutyrate-pyruvate transaminase activity ; GO:0047307
EC:2.6.1.47 > GO:alanine-oxomalonate transaminase activity ; GO:0047308
EC:2.6.1.48 > GO:5-aminovalerate transaminase activity ; GO:0047589
EC:2.6.1.49 > GO:dihydroxyphenylalanine transaminase activity ; GO:0047309
EC:2.6.1.5 > GO:tyrosine transaminase activity ; GO:0004838
EC:2.6.1.50 > GO:glutamine-scyllo-inositol transaminase activity ; GO:0047310
EC:2.6.1.51 > GO:serine-pyruvate transaminase activity ; GO:0004760
EC:2.6.1.52 > GO:phosphoserine transaminase activity ; GO:0004648
EC:2.6.1.54 > GO:pyridoxamine-phosphate transaminase activity ; GO:0019163
EC:2.6.1.55 > GO:taurine-2-oxoglutarate transaminase activity ; GO:0050322
EC:2.6.1.56 > GO:1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol transaminase activity ; GO:0047311
EC:2.6.1.57 > GO:aromatic-amino-acid transaminase activity ; GO:0008793
EC:2.6.1.58 > GO:phenylalanine(histidine) transaminase activity ; GO:0047312
EC:2.6.1.59 > GO:dTDP-4-amino-4,6-dideoxygalactose transaminase activity ; GO:0019180
EC:2.6.1.6 > GO:leucine transaminase activity ; GO:0050048
EC:2.6.1.60 > GO:aromatic-amino-acid-glyoxylate transaminase activity ; GO:0047313
EC:2.6.1.62 > GO:adenosylmethionine-8-amino-7-oxononanoate transaminase activity ; GO:0004015
EC:2.6.1.63 > GO:kynurenine-glyoxylate transaminase activity ; GO:0047315
EC:2.6.1.64 > GO:glutamine-phenylpyruvate transaminase activity ; GO:0047316
EC:2.6.1.65 > GO:N6-acetyl-beta-lysine transaminase activity ; GO:0047317
EC:2.6.1.66 > GO:valine-pyruvate transaminase activity ; GO:0009042
EC:2.6.1.67 > GO:2-aminohexanoate transaminase activity ; GO:0047537
EC:2.6.1.68 > GO:ornithine(lysine) transaminase activity ; GO:0050155
EC:2.6.1.7 > GO:kynurenine-oxoglutarate transaminase activity ; GO:0016212
EC:2.6.1.70 > GO:aspartate-phenylpyruvate transaminase activity ; GO:0047319
EC:2.6.1.71 > GO:lysine-pyruvate 6-transaminase activity ; GO:0050065
EC:2.6.1.72 > GO:D-4-hydroxyphenylglycine transaminase activity ; GO:0047320
EC:2.6.1.73 > GO:methionine-glyoxylate transaminase activity ; GO:0050094
EC:2.6.1.74 > GO:cephalosporin-C transaminase activity ; GO:0047740
EC:2.6.1.75 > GO:cysteine-conjugate transaminase activity ; GO:0047802
EC:2.6.1.76 > GO:diaminobutyrate-2-oxoglutarate transaminase activity ; GO:0045303
EC:2.6.1.77 > GO:taurine-pyruvate aminotransferase activity ; GO:0031299
EC:2.6.1.8 > GO:2,5-diaminovalerate transaminase activity ; GO:0047531
EC:2.6.1.9 > GO:histidinol-phosphate transaminase activity ; GO:0004400
EC:2.6.3 > GO:oximinotransaminase activity ; GO:0016770
EC:2.6.3.1 > GO:oximinotransferase activity ; GO:0050206
EC:2.6.99.1 > GO:dATP(dGTP)-DNA purinetransferase activity ; GO:0047839
EC:2.7 > GO:transferase activity, transferring phosphorus-containing groups ; GO:0016772
EC:2.7.1 > GO:phosphotransferase activity, alcohol group as acceptor ; GO:0016773
EC:2.7.1.1 > GO:hexokinase activity ; GO:0004396
EC:2.7.1.10 > GO:phosphoglucokinase activity ; GO:0050190
EC:2.7.1.100 > GO:S-methyl-5-thioribose kinase activity ; GO:0046522
EC:2.7.1.101 > GO:tagatose kinase activity ; GO:0050317
EC:2.7.1.102 > GO:hamamelose kinase activity ; GO:0047976
EC:2.7.1.103 > GO:viomycin kinase activity ; GO:0050394
EC:2.7.1.104 > GO:diphosphate-protein phosphotransferase activity ; GO:0047321
EC:2.7.1.105 > GO:6-phosphofructo-2-kinase activity ; GO:0003873
EC:2.7.1.106 > GO:glucose-1,6-bisphosphate synthase activity ; GO:0047933
EC:2.7.1.107 > GO:diacylglycerol kinase activity ; GO:0004143
EC:2.7.1.108 > GO:dolichol kinase activity ; GO:0004168
EC:2.7.1.109 > GO:[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity ; GO:0047322
EC:2.7.1.11 > GO:6-phosphofructokinase activity ; GO:0003872
EC:2.7.1.110 > GO:dephospho-[reductase kinase] kinase activity ; GO:0047848
EC:2.7.1.112 > GO:protein-tyrosine kinase activity ; GO:0004713
EC:2.7.1.113 > GO:deoxyguanosine kinase activity ; GO:0004138
EC:2.7.1.114 > GO:AMP-thymidine kinase activity ; GO:0047667
EC:2.7.1.115 > GO:[3-methyl-2-oxobutanoate dehydrogenase (lipoamide)] kinase activity ; GO:0047323
EC:2.7.1.116 > GO:[isocitrate dehydrogenase (NADP+)] kinase activity ; GO:0008772
EC:2.7.1.117 > GO:myosin light chain kinase activity ; GO:0004687
EC:2.7.1.118 > GO:ADP-thymidine kinase activity ; GO:0047628
EC:2.7.1.119 > GO:hygromycin B kinase activity ; GO:0008904
EC:2.7.1.12 > GO:gluconokinase activity ; GO:0046316
EC:2.7.1.120 > GO:caldesmon kinase activity ; GO:0047764
EC:2.7.1.121 > GO:phosphoenolpyruvate-glycerone phosphotransferase activity ; GO:0047324
EC:2.7.1.122 > GO:xylitol kinase activity ; GO:0050400
EC:2.7.1.123 > GO:calcium- and calmodulin-dependent protein kinase activity ; GO:0004685
EC:2.7.1.124 > GO:[tyrosine 3-monooxygenase] kinase activity ; GO:0050369
EC:2.7.1.125 > GO:rhodopsin kinase activity ; GO:0050254
EC:2.7.1.126 > GO:beta-adrenergic receptor kinase activity ; GO:0047696
EC:2.7.1.127 > GO:inositol trisphosphate 3-kinase activity ; GO:0008440
EC:2.7.1.128 > GO:[acetyl-CoA carboxylase] kinase activity ; GO:0050405
EC:2.7.1.129 > GO:myosin heavy chain kinase activity ; GO:0016905
EC:2.7.1.13 > GO:dehydrogluconokinase activity ; GO:0047841
EC:2.7.1.130 > GO:tetraacyldisaccharide 4'-kinase activity ; GO:0009029
EC:2.7.1.131 > GO:low-density lipoprotein kinase activity ; GO:0050063
EC:2.7.1.132 > GO:tropomyosin kinase activity ; GO:0050359
EC:2.7.1.134 > GO:inositol tetrakisphosphate 1-kinase activity ; GO:0047325
EC:2.7.1.135 > GO:tau-protein kinase activity ; GO:0050321
EC:2.7.1.136 > GO:macrolide 2'-kinase activity ; GO:0050073
EC:2.7.1.137 > GO:phosphatidylinositol 3-kinase activity ; GO:0016303
EC:2.7.1.138 > GO:ceramide kinase activity ; GO:0001729
EC:2.7.1.14 > GO:sedoheptulokinase activity ; GO:0050277
EC:2.7.1.140 > GO:inositol tetrakisphosphate 5-kinase activity ; GO:0047326
EC:2.7.1.141 > GO:RNA polymerase subunit kinase activity ; GO:0008353
EC:2.7.1.142 > GO:glycerol-3-phosphate-glucose phosphotransferase activity ; GO:0047327
EC:2.7.1.143 > GO:diphosphate-purine nucleoside kinase activity ; GO:0008842
EC:2.7.1.144 > GO:tagatose-6-phosphate kinase activity ; GO:0009024
EC:2.7.1.145 > GO:deoxynucleoside kinase activity ; GO:0019136
EC:2.7.1.148 > GO:4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity ; GO:0050515
EC:2.7.1.149 > GO:1-phosphatidylinositol-5-phosphate 4-kinase activity ; GO:0016309
EC:2.7.1.15 > GO:ribokinase activity ; GO:0004747
EC:2.7.1.150 > GO:1-phosphatidylinositol-3-phosphate 5-kinase activity ; GO:0000285
EC:2.7.1.151 > GO:inositol polyphosphate multikinase activity ; GO:0050516
EC:2.7.1.153 > GO:phosphatidylinositol-4,5-bisphosphate 3-kinase activity ; GO:0046934
EC:2.7.1.154 > GO:phosphatidylinositol-4-phosphate 3-kinase activity ; GO:0035005
EC:2.7.1.16 > GO:ribulokinase activity ; GO:0008741
EC:2.7.1.17 > GO:xylulokinase activity ; GO:0004856
EC:2.7.1.18 > GO:phosphoribokinase activity ; GO:0050195
EC:2.7.1.19 > GO:phosphoribulokinase activity ; GO:0008974
EC:2.7.1.2 > GO:glucokinase activity ; GO:0004340
EC:2.7.1.20 > GO:adenosine kinase activity ; GO:0004001
EC:2.7.1.21 > GO:thymidine kinase activity ; GO:0004797
EC:2.7.1.22 > GO:ribosylnicotinamide kinase activity ; GO:0050262
EC:2.7.1.23 > GO:NAD+ kinase activity ; GO:0003951
EC:2.7.1.24 > GO:dephospho-CoA kinase activity ; GO:0004140
EC:2.7.1.25 > GO:adenylylsulfate kinase activity ; GO:0004020
EC:2.7.1.26 > GO:riboflavin kinase activity ; GO:0008531
EC:2.7.1.27 > GO:erythritol kinase activity ; GO:0047878
EC:2.7.1.28 > GO:triokinase activity ; GO:0050354
EC:2.7.1.29 > GO:glycerone kinase activity ; GO:0004371
EC:2.7.1.3 > GO:ketohexokinase activity ; GO:0004454
EC:2.7.1.30 > GO:glycerol kinase activity ; GO:0004370
EC:2.7.1.31 > GO:glycerate kinase activity ; GO:0008887
EC:2.7.1.32 > GO:choline kinase activity ; GO:0004103
EC:2.7.1.33 > GO:pantothenate kinase activity ; GO:0004594
EC:2.7.1.34 > GO:pantetheine kinase activity ; GO:0050165
EC:2.7.1.35 > GO:pyridoxal kinase activity ; GO:0008478
EC:2.7.1.36 > GO:mevalonate kinase activity ; GO:0004496
EC:2.7.1.37 > GO:protein kinase activity ; GO:0004672
EC:2.7.1.38 > GO:phosphorylase kinase activity ; GO:0004689
EC:2.7.1.39 > GO:homoserine kinase activity ; GO:0004413
EC:2.7.1.4 > GO:fructokinase activity ; GO:0008865
EC:2.7.1.40 > GO:pyruvate kinase activity ; GO:0004743
EC:2.7.1.41 > GO:glucose-1-phosphate phosphodismutase activity ; GO:0047937
EC:2.7.1.42 > GO:riboflavin phosphotransferase activity ; GO:0050257
EC:2.7.1.43 > GO:glucuronokinase activity ; GO:0047940
EC:2.7.1.44 > GO:galacturonokinase activity ; GO:0047912
EC:2.7.1.45 > GO:2-dehydro-3-deoxygluconokinase activity ; GO:0008673
EC:2.7.1.46 > GO:L-arabinokinase activity ; GO:0009702
EC:2.7.1.47 > GO:D-ribulokinase activity ; GO:0019150
EC:2.7.1.48 > GO:uridine kinase activity ; GO:0004849
EC:2.7.1.49 > GO:hydroxymethylpyrimidine kinase activity ; GO:0008902
EC:2.7.1.5 > GO:rhamnulokinase activity ; GO:0008993
EC:2.7.1.50 > GO:hydroxyethylthiazole kinase activity ; GO:0004417
EC:2.7.1.51 > GO:L-fuculokinase activity ; GO:0008737
EC:2.7.1.52 > GO:fucokinase activity ; GO:0050201
EC:2.7.1.53 > GO:L-xylulokinase activity ; GO:0008744
EC:2.7.1.54 > GO:D-arabinokinase activity ; GO:0047814
EC:2.7.1.55 > GO:allose kinase activity ; GO:0008787
EC:2.7.1.56 > GO:1-phosphofructokinase activity ; GO:0008662
EC:2.7.1.58 > GO:2-dehydro-3-deoxygalactonokinase activity ; GO:0008671
EC:2.7.1.59 > GO:N-acetylglucosamine kinase activity ; GO:0045127
EC:2.7.1.6 > GO:galactokinase activity ; GO:0004335
EC:2.7.1.60 > GO:N-acylmannosamine kinase activity ; GO:0009384
EC:2.7.1.61 > GO:acyl-phosphate-hexose phosphotransferase activity ; GO:0047328
EC:2.7.1.62 > GO:phosphoramidate-hexose phosphotransferase activity ; GO:0047329
EC:2.7.1.63 > GO:polyphosphate-glucose phosphotransferase activity ; GO:0047330
EC:2.7.1.64 > GO:inositol 3-kinase activity ; GO:0019140
EC:2.7.1.65 > GO:scyllo-inosamine 4-kinase activity ; GO:0050276
EC:2.7.1.66 > GO:undecaprenol kinase activity ; GO:0009038
EC:2.7.1.67 > GO:1-phosphatidylinositol 4-kinase activity ; GO:0004430
EC:2.7.1.68 > GO:1-phosphatidylinositol-4-phosphate 5-kinase activity ; GO:0016308
EC:2.7.1.69 > GO:protein-N(PI)-phosphohistidine-sugar phosphotransferase activity ; GO:0008982
EC:2.7.1.7 > GO:mannokinase activity ; GO:0019158
EC:2.7.1.71 > GO:shikimate kinase activity ; GO:0004765
EC:2.7.1.72 > GO:streptomycin 6-kinase activity ; GO:0050300
EC:2.7.1.73 > GO:inosine kinase activity ; GO:0008906
EC:2.7.1.74 > GO:deoxycytidine kinase activity ; GO:0004137
EC:2.7.1.76 > GO:deoxyadenosine kinase activity ; GO:0004136
EC:2.7.1.77 > GO:nucleoside phosphotransferase activity ; GO:0050146
EC:2.7.1.78 > GO:ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity ; GO:0046404
EC:2.7.1.79 > GO:diphosphate-glycerol phosphotransferase activity ; GO:0047331
EC:2.7.1.8 > GO:glucosamine kinase activity ; GO:0047931
EC:2.7.1.80 > GO:diphosphate-serine phosphotransferase activity ; GO:0047332
EC:2.7.1.81 > GO:hydroxylysine kinase activity ; GO:0047992
EC:2.7.1.82 > GO:ethanolamine kinase activity ; GO:0004305
EC:2.7.1.83 > GO:pseudouridine kinase activity ; GO:0050225
EC:2.7.1.84 > GO:alkylglycerone kinase activity ; GO:0047650
EC:2.7.1.85 > GO:beta-glucoside kinase activity ; GO:0047700
EC:2.7.1.86 > GO:NADH kinase activity ; GO:0042736
EC:2.7.1.87 > GO:streptomycin 3''-kinase activity ; GO:0050299
EC:2.7.1.88 > GO:dihydrostreptomycin-6-phosphate 3'-alpha-kinase activity ; GO:0047333
EC:2.7.1.89 > GO:thiamin kinase activity ; GO:0019165
EC:2.7.1.90 > GO:diphosphate-fructose-6-phosphate 1-phosphotransferase activity ; GO:0047334
EC:2.7.1.91 > GO:sphinganine kinase activity ; GO:0008481
EC:2.7.1.92 > GO:5-dehydro-2-deoxygluconokinase activity ; GO:0047590
EC:2.7.1.93 > GO:alkylglycerol kinase activity ; GO:0047649
EC:2.7.1.94 > GO:acylglycerol kinase activity ; GO:0047620
EC:2.7.1.95 > GO:kanamycin kinase activity ; GO:0008910
EC:2.7.1.99 > GO:[pyruvate dehydrogenase (lipoamide)] kinase activity ; GO:0004740
EC:2.7.2 > GO:phosphotransferase activity, carboxyl group as acceptor ; GO:0016774
EC:2.7.2.1 > GO:acetate kinase activity ; GO:0008776
EC:2.7.2.10 > GO:phosphoglycerate kinase (GTP) activity ; GO:0050191
EC:2.7.2.11 > GO:glutamate 5-kinase activity ; GO:0004349
EC:2.7.2.12 > GO:acetate kinase (diphosphate) activity ; GO:0047601
EC:2.7.2.13 > GO:glutamate 1-kinase activity ; GO:0047944
EC:2.7.2.14 > GO:branched-chain fatty acid kinase activity ; GO:0047758
EC:2.7.2.2 > GO:carbamate kinase activity ; GO:0008804
EC:2.7.2.3 > GO:phosphoglycerate kinase activity ; GO:0004618
EC:2.7.2.4 > GO:aspartate kinase activity ; GO:0004072
EC:2.7.2.6 > GO:formate kinase activity ; GO:0047900
EC:2.7.2.7 > GO:butyrate kinase activity ; GO:0047761
EC:2.7.2.8 > GO:acetylglutamate kinase activity ; GO:0003991
EC:2.7.3 > GO:phosphotransferase activity, nitrogenous group as acceptor ; GO:0016775
EC:2.7.3.1 > GO:guanidinoacetate kinase activity ; GO:0047973
EC:2.7.3.10 > GO:agmatine kinase activity ; GO:0047633
EC:2.7.3.11 > GO:protein histidine pros-kinase activity ; GO:0008256
EC:2.7.3.12 > GO:protein histidine tele-kinase activity ; GO:0008257
EC:2.7.3.2 > GO:creatine kinase activity ; GO:0004111
EC:2.7.3.3 > GO:arginine kinase activity ; GO:0004054
EC:2.7.3.4 > GO:taurocyamine kinase activity ; GO:0050324
EC:2.7.3.5 > GO:lombricine kinase activity ; GO:0050059
EC:2.7.3.6 > GO:hypotaurocyamine kinase activity ; GO:0047715
EC:2.7.3.7 > GO:opheline kinase activity ; GO:0050154
EC:2.7.3.8 > GO:ammonia kinase activity ; GO:0047666
EC:2.7.3.9 > GO:phosphoenolpyruvate-protein phosphotransferase activity ; GO:0008965
EC:2.7.4 > GO:phosphotransferase activity, phosphate group as acceptor ; GO:0016776
EC:2.7.4.1 > GO:polyphosphate kinase activity ; GO:0008976
EC:2.7.4.10 > GO:nucleoside triphosphate adenylate kinase activity ; GO:0046899
EC:2.7.4.11 > GO:(deoxy)adenylate kinase activity ; GO:0047506
EC:2.7.4.12 > GO:T2-induced deoxynucleotide kinase activity ; GO:0050316
EC:2.7.4.13 > GO:(deoxy)nucleoside-phosphate kinase activity ; GO:0047507
EC:2.7.4.14 > GO:cytidylate kinase activity ; GO:0004127
EC:2.7.4.15 > GO:thiamin diphosphate kinase activity ; GO:0050331
EC:2.7.4.16 > GO:thiamin phosphate kinase activity ; GO:0009030
EC:2.7.4.17 > GO:3-phosphoglyceroyl-phosphate-polyphosphate phosphotransferase activity ; GO:0047335
EC:2.7.4.18 > GO:farnesyl diphosphate kinase activity ; GO:0047887
EC:2.7.4.19 > GO:5-methyldeoxycytidine-5'-phosphate kinase activity ; GO:0047336
EC:2.7.4.2 > GO:phosphomevalonate kinase activity ; GO:0004631
EC:2.7.4.20 > GO:dolichyl-diphosphate-polyphosphate phosphotransferase activity ; GO:0047337
EC:2.7.4.21 > GO:inositol hexakisphosphate kinase activity ; GO:0050517
EC:2.7.4.3 > GO:adenylate kinase activity ; GO:0004017
EC:2.7.4.4 > GO:nucleoside phosphate kinase activity ; GO:0050145
EC:2.7.4.6 > GO:nucleoside diphosphate kinase activity ; GO:0004550
EC:2.7.4.7 > GO:phosphomethylpyrimidine kinase activity ; GO:0008972
EC:2.7.4.8 > GO:guanylate kinase activity ; GO:0004385
EC:2.7.4.9 > GO:thymidylate kinase activity ; GO:0004798
EC:2.7.5 > GO:phosphotransferase activity, with regeneration of donors, apparently catalyzing intramolecular transfers ; GO:0016777
EC:2.7.6 > GO:diphosphotransferase activity ; GO:0016778
EC:2.7.6.1 > GO:ribose phosphate diphosphokinase activity ; GO:0004749
EC:2.7.6.2 > GO:thiamin diphosphokinase activity ; GO:0004788
EC:2.7.6.3 > GO:2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity ; GO:0003848
EC:2.7.6.4 > GO:nucleotide diphosphokinase activity ; GO:0050148
EC:2.7.6.5 > GO:GTP diphosphokinase activity ; GO:0008728
EC:2.7.7 > GO:nucleotidyltransferase activity ; GO:0016779
EC:2.7.7.1 > GO:nicotinamide-nucleotide adenylyltransferase activity ; GO:0000309
EC:2.7.7.10 > GO:UTP:galactose-1-phosphate uridylyltransferase activity ; GO:0017103
EC:2.7.7.11 > GO:UTP:xylose-1-phosphate uridylyltransferase activity ; GO:0047338
EC:2.7.7.12 > GO:UDP-glucose:hexose-1-phosphate uridylyltransferase activity ; GO:0008108
EC:2.7.7.13 > GO:mannose-1-phosphate guanylyltransferase activity ; GO:0004475
EC:2.7.7.14 > GO:ethanolamine-phosphate cytidylyltransferase activity ; GO:0004306
EC:2.7.7.15 > GO:choline-phosphate cytidylyltransferase activity ; GO:0004105
EC:2.7.7.18 > GO:nicotinate-nucleotide adenylyltransferase activity ; GO:0004515
EC:2.7.7.19 > GO:polynucleotide adenylyltransferase activity ; GO:0004652
EC:2.7.7.2 > GO:FMN adenylyltransferase activity ; GO:0003919
EC:2.7.7.21 > GO:tRNA cytidylyltransferase activity ; GO:0016437
EC:2.7.7.22 > GO:mannose-1-phosphate guanylyltransferase (GDP) activity ; GO:0008928
EC:2.7.7.23 > GO:UDP-N-acetylglucosamine diphosphorylase activity ; GO:0003977
EC:2.7.7.24 > GO:glucose-1-phosphate thymidylyltransferase activity ; GO:0008879
EC:2.7.7.25 > GO:tRNA adenylyltransferase activity ; GO:0004810
EC:2.7.7.27 > GO:glucose-1-phosphate adenylyltransferase activity ; GO:0008878
EC:2.7.7.28 > GO:nucleoside-triphosphate-hexose-1-phosphate nucleotidyltransferase activity ; GO:0047339
EC:2.7.7.3 > GO:pantetheine-phosphate adenylyltransferase activity ; GO:0004595
EC:2.7.7.30 > GO:fucose-1-phosphate guanylyltransferase activity ; GO:0047341
EC:2.7.7.31 > GO:DNA nucleotidylexotransferase activity ; GO:0003912
EC:2.7.7.32 > GO:galactose-1-phosphate thymidylyltransferase activity ; GO:0047342
EC:2.7.7.33 > GO:glucose-1-phosphate cytidylyltransferase activity ; GO:0047343
EC:2.7.7.34 > GO:glucose-1-phosphate guanylyltransferase activity ; GO:0047344
EC:2.7.7.35 > GO:ribose-5-phosphate adenylyltransferase activity ; GO:0047345
EC:2.7.7.36 > GO:aldose-1-phosphate adenylyltransferase activity ; GO:0047346
EC:2.7.7.37 > GO:aldose-1-phosphate nucleotidyltransferase activity ; GO:0047347
EC:2.7.7.38 > GO:3-deoxy-manno-octulosonate cytidylyltransferase activity ; GO:0008690
EC:2.7.7.39 > GO:glycerol-3-phosphate cytidylyltransferase activity ; GO:0047348
EC:2.7.7.4 > GO:sulfate adenylyltransferase (ATP) activity ; GO:0004781
EC:2.7.7.40 > GO:D-ribitol-5-phosphate cytidylyltransferase activity ; GO:0047349
EC:2.7.7.41 > GO:phosphatidate cytidylyltransferase activity ; GO:0004605
EC:2.7.7.42 > GO:[glutamate-ammonia-ligase] adenylyltransferase activity ; GO:0008882
EC:2.7.7.43 > GO:N-acylneuraminate cytidylyltransferase activity ; GO:0008781
EC:2.7.7.44 > GO:glucuronate-1-phosphate uridylyltransferase activity ; GO:0047350
EC:2.7.7.45 > GO:guanosine-triphosphate guanylyltransferase activity ; GO:0047351
EC:2.7.7.46 > GO:gentamicin 2''-nucleotidyltransferase activity ; GO:0008871
EC:2.7.7.47 > GO:streptomycin 3''-adenylyltransferase activity ; GO:0009012
EC:2.7.7.48 > GO:RNA-directed RNA polymerase activity ; GO:0003968
EC:2.7.7.49 > GO:RNA-directed DNA polymerase activity ; GO:0003964
EC:2.7.7.5 > GO:sulfate adenylyltransferase (ADP) activity ; GO:0004780
